epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.29107,1.16001,3.61195,1.03532,0.015,1,0.02701,0.01815,0.72532,3.12095,0.85069,0,0,0
2,2.16843,1.20401,3.67029,1.06848,0.015,1,0.02747,0.01818,0.73219,3.11897,0.85037,1.9802e-05,1.9802e-05,1.9802e-05
3,3.06113,1.19851,3.64689,1.06965,0.015,1,0.02753,0.01828,0.73205,3.1133,0.84906,3.9208e-05,3.9208e-05,3.9208e-05
4,3.9329,1.29988,3.6562,1.08365,0.015,1,0.0278,0.01889,0.72889,3.10695,0.84787,5.8218e-05,5.8218e-05,5.8218e-05
5,4.82882,1.28049,3.64432,1.05717,0.015,1,0.03778,0.02374,0.66811,3.07591,0.83726,7.6832e-05,7.6832e-05,7.6832e-05
6,5.88385,1.16956,3.45034,0.99971,0.015,1,0.04108,0.03157,0.55967,3.04881,0.82056,9.505e-05,9.505e-05,9.505e-05
7,6.91243,1.02921,3.30644,0.95571,0.015,1,0.04089,0.03491,0.50982,3.02462,0.81556,0.000112872,0.000112872,0.000112872
8,7.95934,0.98906,2.96287,0.93001,0.015,1,0.04347,0.03793,0.47376,3.01355,0.80882,0.000130298,0.000130298,0.000130298
9,8.94713,0.89076,2.64267,0.91669,0.015,1,0.04305,0.03979,0.42906,2.99659,0.80264,0.000147328,0.000147328,0.000147328
10,9.96652,0.9657,2.2716,0.92703,0.015,1,0.15326,0.05098,0.41624,2.97857,0.79934,0.000163962,0.000163962,0.000163962
11,11.0326,1.02948,1.8585,0.92756,0.015,1,0.04305,0.03897,0.42049,2.95076,0.79853,0.0001802,0.0001802,0.0001802
12,12.0436,1.07121,1.47234,0.90133,0.015,1,0.04411,0.03992,0.44908,2.91428,0.80169,0.000196042,0.000196042,0.000196042
13,13.0186,1.02725,1.22731,0.91348,0.015,1,0.04244,0.03558,0.53117,2.86333,0.80882,0.000211488,0.000211488,0.000211488
14,13.9977,1.02746,1.17009,0.90815,0.015,1,0.04347,0.03583,0.60478,2.79951,0.81837,0.000226538,0.000226538,0.000226538
15,14.9772,1.0387,1.06924,0.91795,0.015,1,0.2588,0.20845,0.6104,2.72022,0.82002,0.000241192,0.000241192,0.000241192
16,15.9791,0.99077,0.95024,0.92828,0.015,1,0.78471,0.67346,0.58569,2.63505,0.81692,0.00025545,0.00025545,0.00025545
17,17.0475,0.90287,0.9269,0.88533,0.015,1,0.78443,0.6509,0.59415,2.53202,0.81904,0.000269312,0.000269312,0.000269312
18,17.997,0.84315,0.94754,0.915,0.015,1,0.78443,0.6509,0.59415,2.53202,0.81904,0.000282778,0.000282778,0.000282778
19,19.0061,0.94531,1.29088,0.91457,0.015,1,0.78412,0.66015,0.59372,2.50352,0.81871,0.000295848,0.000295848,0.000295848
20,19.9559,0.8714,1.01934,0.89502,0.015,1,0.78412,0.66015,0.59372,2.50352,0.81871,0.000308522,0.000308522,0.000308522
21,20.9676,0.89052,1.00526,0.91701,0.015,1,0.995,0.83385,0.58094,2.34646,0.81996,0.0003208,0.0003208,0.0003208
22,22.0184,0.90242,1.01216,0.92534,0.015,1,0.995,0.83385,0.58094,2.34646,0.81996,0.000332682,0.000332682,0.000332682
23,23.0748,0.9357,1.03619,0.88758,1,0.87301,0.995,0.84946,0.56509,2.18887,0.82074,0.000344168,0.000344168,0.000344168
24,24.0755,0.95441,0.8531,0.89212,1,0.87301,0.995,0.84946,0.56509,2.18887,0.82074,0.000355258,0.000355258,0.000355258
25,25.0605,0.7871,1.03739,0.91137,1,0.81758,0.995,0.86186,0.5507,2.10151,0.82167,0.000365952,0.000365952,0.000365952
26,26.0164,0.89285,0.81772,0.88303,1,0.81758,0.995,0.86186,0.5507,2.10151,0.82167,0.00037625,0.00037625,0.00037625
27,27.0581,0.84804,0.85027,0.9083,1,0.83007,0.995,0.87475,0.59465,2.06029,0.82876,0.000386152,0.000386152,0.000386152
28,28.0634,0.82522,0.81122,0.87846,1,0.83007,0.995,0.87475,0.59465,2.06029,0.82876,0.000395658,0.000395658,0.000395658
29,29.0748,0.80743,0.84572,0.9134,1,0.83477,0.995,0.8619,0.6491,2.06091,0.83386,0.000404768,0.000404768,0.000404768
30,30.0691,0.79523,0.758,0.8672,1,0.83477,0.995,0.8619,0.6491,2.06091,0.83386,0.000413482,0.000413482,0.000413482
31,31.0941,0.85,0.79865,0.89879,1,0.78528,0.995,0.84433,0.61835,2.146,0.8339,0.0004218,0.0004218,0.0004218
32,32.0491,0.80845,0.77151,0.88125,1,0.78528,0.995,0.84433,0.61835,2.146,0.8339,0.000429722,0.000429722,0.000429722
33,33.0819,0.78509,0.76323,0.88448,1,0.81252,0.995,0.89376,0.56762,2.23656,0.82559,0.000437248,0.000437248,0.000437248
34,34.1347,0.80461,0.78909,0.86582,1,0.81252,0.995,0.89376,0.56762,2.23656,0.82559,0.000444378,0.000444378,0.000444378
35,35.1616,0.7372,0.76132,0.8818,1,0.88782,0.995,0.87022,0.53326,2.25457,0.81634,0.000451112,0.000451112,0.000451112
36,36.1153,0.76462,0.77847,0.88273,1,0.88782,0.995,0.87022,0.53326,2.25457,0.81634,0.00045745,0.00045745,0.00045745
37,37.0767,0.80393,0.79587,0.87908,1,0.7762,0.995,0.87588,0.53143,2.2629,0.81405,0.000463392,0.000463392,0.000463392
38,38.0532,0.83213,0.77601,0.92256,1,0.7762,0.995,0.87588,0.53143,2.2629,0.81405,0.000468938,0.000468938,0.000468938
